LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
1529,"$_GET, $_POSTなどを受け取る際の処理","[""PHP""]","【2021/10/15 追記】
この記事は更新が停止されています。現在では筆者の思想が変化している面もありますので，過去の記事として参考程度にご覧ください。
予備知識
PHP ...",https://qiita.com//mpyw/items/2f9955db1c02eeef43ea,2,mpyw
1485,React+Redux入門,"[""React"", ""redux"", ""react-redux"", ""新人プログラマ応援""]","い。なんならReduxは使わない方がいいでしょう。
最近のモダンなウェブフレームワークと言えば、React+Reduxですよね。でも、なんか難しそうとか、ReactってPHP ...",https://qiita.com//erukiti/items/e16aa13ad81d5938374e,3,erukiti
1485,Ansibleをはじめる人に。,"[""Ansible""]"," is Not Unix), PHP(PHP: Hypertext Processor), RPM(RPM Package Manager)なんかが有名でし ...",https://qiita.com//t_nakayama0714/items/fe55ee56d6446f67113c,3,t_nakayama0714
1477,vimって極めればvscode並のIDEになるんじゃないの？,"[""Vim"", ""vimrc""]","m-haml'
Plug 'mattn/emmet-vim'
"""" javascript
Plug 'jelera/vim-javascript-syntax'
"""" php ...",https://qiita.com//ulwlu/items/98901f4c4f0683e7aa57,60,ulwlu
1461,プログラミングスクールの講師を2年間続けて限界が来て辞めた話,"[""HTML"", ""CSS"", ""初学者向け"", ""プログラミングスクール"", ""ポエム""]","たこともあり、業務委託契約で経験が積めそうなところに応募。
即採用していただき、正社員で働く傍、副業としてプログラミング講師に。
エンジニア歴は当時は5年
得意な言語はPHP ...",https://qiita.com//Yuhi_M/items/a4cfcea07a93fc593ea9,61,Yuhi_M
1459,M1 Macの開発環境,"[""Mac""]","
12/18
✔︎
Node.js
15.4.0
arm64
ソースビルド
12/18
✔︎
Node.js
master
arm64
ソースビルド
11/25
✔︎
PHP ...",https://qiita.com//shibukawa/items/797b7cbb7e530842e6f7,17,shibukawa
1457,フリーランスエンジニアの単価を決める,"[""フリーランス"", ""キャリア"", ""ポエム""]","マ 日単価8万円〜 
PM 日単価15万円
フリーランス仲間基準 8万円〜
フリーランス仲間からダンピングを避けるために最低6万以上とのこと
人材が豊富なRails, PHP ...",https://qiita.com//KazukiTanaka/items/130a2c477847b24e35ce,4,KazukiTanaka
1427,Mac始めて6年目にして、使い続けている開発ツール73選,"[""Mac"", ""ツール"", ""PHP"", ""Scala"", ""Git""]","とにかく起動が早いシンプルなエディタ。
IntelliJ IDEA CE: Scala開発に使う無料のIDE。
MacVim: Mac用のvim。
PhpStorm: PHP ...",https://qiita.com//suin/items/a45f14aeb31f169c616e,1,suin
1422,gRPCって何？,"[""gRPC"", ""WebAPI""]","ー＆クライアントを実装する
実装
様々な言語がサポートされており、IDLの価値を高めている気がします。
C++, Python, Ruby, Objective-C, PHP ...",https://qiita.com//oohira/items/63b5ccb2bf1a913659d6,,oohira
1418,JSON Web Token の効用,"[""JWT""]","2id/nimbus-jose-jwt/wiki/Home
PHP: https://github.com/ritou/php-Akita_JOSE
Per ...",https://qiita.com//kaiinui/items/21ec7cc8a1130a1a103a,2,kaiinui
1418,新しく言語を学ぶときに心がけていること,"[""初心者"", ""学習"", ""ポエム"", ""新人プログラマ応援"", ""Slack""]","語が生まれた歴史的背景や、その特性を知ることが大事だと思います。
例えばGoを勉強するときには、
Goは2009年にGoogleが作ったオープンソースの静的言語
当時はPHP ...",https://qiita.com//hiraike32/items/40ef06f85f6a63828985,8,hiraike32
1397,2018年Vue.jsとVuexを使ってる人には必ず知っていてほしいドキュメントに書かれていないコンポーネントやストア、メンテナンスの際に役立つTips,"[""Vue.js"", ""es6"", ""DesignPatterns"", ""Vuex"", ""TypeScript""]",るのが向いているから雑に作るべきなど、それらの主張は大きな間違いでしょう。Vue.jsは沢山の選択肢をくれるだけで、我々がその中で一番簡単な物を選んでるだけです。まるでPHP ...,https://qiita.com//kahirokunn/items/512b9e502f8db49981f3,9,kahirokunn
1399,GraphQL入門 - 使いたくなるGraphQL,"[""GraphQL""]","モリでのオブジェクトの扱い方に似ている気もします。
インターフェースを定義できる
さらに、GraphQLのschemaではインターフェースも定義できます。
JavaとかPHP ...",https://qiita.com//bananaumai/items/3eb77a67102f53e8a1ad,2,bananaumai
