LGTM数,記事タイトル,タグ,見出し,URL,コメント数,著者
31,ブランチの最終更新日時を一覧にする git branch-activity 書いた,"[""Git""]","_BRANCH_OPT=
print_branches() {
git branch $GIT_BRANCH_OPT | perl -lne 'print $1 if /^[ ...",https://qiita.com//uasi/items/430f9403ac9b437c0499,1,uasi
31,Emacsで他の言語とRPC,"[""Emacs""]","のRPCフレームワークを作ってきました。
- EPC : The Emacs RPC
- Perl側モジュール (本体に付属)
- python-epc by tkfさん
- ...",https://qiita.com//kiwanami/items/939fab6ac6588d72edbd,,kiwanami
31,私がPythonにはまった5つの理由,"[""Python"", ""AdventCalendar""]","から、インタプリタ型言語を一つ覚えておくと便利だよってアドバイスをもらった。
　よし、インタプリタ型言語なるものに着手してみよう。
　アドバイスくれた人はPerlユーザーだか ...",https://qiita.com//nobolis/items/71527bf7d7d75a188f3f,,nobolis
31,数年ぶりにPHPerへ復帰した浦島太郎がPHPerやPHPについて思うこと,"[""PHP"", ""WordPress"", ""ポエム""]","な、いわゆるリファレンス本でした。
Webアプリを作る手段としてはPerlの後にPHPを学んだ事もあり、自分であれこれ書かなくても、何をするにしても標準関数が用意されていたP ...",https://qiita.com//fallout/items/1528e8667d6fb80ffeae,,fallout
31,Table(HTML)の中身をExcelにエクスポートする,"[""JavaScript"", ""Excel""]","する
JSでxlsデータを作るjs-xlsxとBlobなどを保存することのできるFileSaver.jsを使った方法で、見たとき軽く感動しました。書いている方も有名なPerl ...",https://qiita.com//yusuke_nozoe/items/c818072041667c763cfb,,yusuke_nozoe
33,Makefileを利用してiOS開発を賢く便利に運用しよう🎉,"[""iOS"", ""Xcode"", ""Swift"", ""Makefile"", ""ShellScript""]","/DerivedData/ ; :
Xcode project をソートする
有名な Xcode のソートスクリプト をありがたく利用させていただくワンライナーです。Perl ...",https://qiita.com//YutoMizutani/items/6eea2ffac577ff481039,,YutoMizutani
31,[DNS] PowerDNSとAtomia DNSを使ってみる,"[""AtomiaDNS"", ""DNSSEC"", ""dns"", ""PowerDNS""]","ndnssec.sh
/usr/share/atomia/opendnssec_scripts/export_keys_for_zone.sh
/usr/share/perl ...",https://qiita.com//hondam/items/65b29e069b9f0d5238a8,2,hondam
31,phpのコマンドラインオプションの、これなあに？,"[""VSCode"", ""PHP""]","て配列や関数の動作を確認していました。
知らないって恐ろしい...。
把握している限りでは、他の言語で同様のものはこのような感じ。
ruby: irb
perl: ",https://qiita.com//akiko-pusu/items/93dc4cf63d23a1bb9bdb,,akiko-pusu
31,iPadでもVimを使いたい！,"[""Vim"", ""iOS""]","
+farsi           -perl            +writebackup
+file_in_path    +persistent_undo -X11
 ...",https://qiita.com//naru-frank/items/f96150fd0e0bf5e02aef,,naru-frank
31,SinatraをCapistranoでUnicorn × nginxな本番サーバにデプロイする完全マニュアル,"[""Ruby"", ""Sinatra"", ""Capistrano"", ""nginx"", ""unicorn""]",install curl-devel libffi-devel expat-devel gettext-devel openssl-devel zlib-devel perl ...,https://qiita.com//kakky0418/items/8a145c63627f33a25380,,kakky0418
32,前世紀の圧縮ライブラリに畏怖した話,"[""JavaScript"", ""圧縮"", ""ライブラリ""]","009, Dan Kogai)
先の johan/js-deflate は、
dankogai/js-deflate からforkされていました。
作者は小飼弾氏。
Perl ...",https://qiita.com//take_3/items/ae3254a172c67369244c,,take_3
31,ゼロからはじめるChIP-seq解析,"[""バイオインフォマティクス"", ""ChIP-seq"", ""Homer"", ""Python"", ""bioinformatics""]","今回はこれをHOMERのfindMotifsGenome.plを使って行ってみます.  
これも下準備が必要でHOMERにゲノムをインストールする必要があります. 
perl ...",https://qiita.com//roadricefield/items/419270fed2e3e7659a0b,2,roadricefield
30,pandasのプロット機能を使いJupyter上で作図,"[""Jupyter"", ""Python"", ""pandas"", ""matplotlib"", ""elcapitan""]",")
スクリプト言語。Perlよりスッキリ書ける（としか書けない）。海外ではRubyより人気。科学計算によく使われ、それに関連するライブラリが多い。
ライブラリ
汎用性の高い複 ...",https://qiita.com//Kuruma_K/items/752ad3c6ceaee30e399a,,Kuruma_K
31,Webサーバをmixin! 新プラットフォームへの移行をゆるやかに行う技術,"[""Rails"", ""PHP"", ""nginx"", ""Scala"", ""システムマイグレーション""]","移行をゆるやかに行えるようにする方法の紹介です。
はじめに
ウェブサービスを支えるサーバサイドのプラットフォームの変化は目を見張るものがありますね。振り返ってみると、Perl ...",https://qiita.com//suin/items/36f3a551c1a3c0683d5f,1,suin
